TICKER,DATE,DIRECTION,EARNINGS_D1,ADV_MULT,n_bars,entry,ret_close,mfe_pct,mae_pct,mfe_atr,mae_atr,open_gap_atr,test_atr,reached_d1,beyond_d1_atr,t_mfe,mfe_bucket,win
NVCR,2025-07-25,BEARISH,0,4.3602,390,12.725,5.422396856581524,9.075834970530448,0.03929273084479986,1.7916537387527143,0.007756748371084055,-0.28699968973006595,0.007756748371084055,True,1.3805460750853256,53,Morning,True
ITRI,2025-11-03,BEARISH,0,4.5724,360,101.68,-5.01573564122737,1.917781274586942,5.625491738788354,0.328975115984817,0.9649936735554616,-0.22775200337410517,0.24630957401940004,False,0.0,33,Morning,False
REPL,2025-05-07,BEARISH,0,4.5196,363,7.73,7.373868046571797,9.443725743855115,0.5174644243208169,1.271112658889083,0.0696500087062496,-0.4004875500609445,0.0696500087062496,True,0.8096813512101686,359,Afternoon,True
SRPT,2025-05-07,BEARISH,0,6.5787,390,39.99,8.202050512628157,8.514628657164293,0.02500625156288575,1.2984784349616754,0.0038134462113404302,2.577889638866643,0.0038134462113404302,True,3.788658810967472,389,Afternoon,True
SLNO,2025-07-11,BEARISH,0,5.1677,368,81.77,0.3130732542497294,1.3574660633484157,1.748807631160581,0.34415403218305257,0.4433696090286196,-0.4495705825814662,0.3813598735001408,False,0.0,10,Open (0-30m),True
FI,2025-05-16,BEARISH,0,5.2861,390,159.5,-4.47648902821316,0.0,5.32288401253919,0.0,1.811934437425305,-0.07896534061806483,1.3552159808775812,False,0.0,0,Open (0-30m),False
ITOS,2025-07-22,BEARISH,0,16.5568,361,10.16,0.5413385826771644,0.6397637795275541,0.2952755905511748,0.5142405063291099,0.23734177215189364,-0.23734177215189364,0.23734177215189364,True,0.1186708860759398,305,Afternoon,True
GOF,2025-10-21,BEARISH,0,8.5788,380,12.69,-5.082742316784872,0.315208825847117,7.4468085106383,0.2826855123674852,6.678445229681982,0.9893992932862232,5.229681978798588,True,0.4946996466431116,0,Open (0-30m),False
WES,2025-08-08,BEARISH,0,9.8417,390,38.5,1.1168831168831161,1.3766233766233795,1.142857142857137,0.6539173349784098,0.5428747686613173,-0.07402837754472828,0.5428747686613173,True,0.37014188772363266,372,Afternoon,True
FENI,2025-11-21,BEARISH,0,4.599,373,34.61,-0.5634209765963627,0.46229413464315683,0.8523548107483436,0.4389574759945037,0.8093278463648881,-0.6310013717421039,0.10973936899862592,False,0.0,95,Morning,False
